Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
5,CCAFS,SES-8,"3,170 kg",GTO,<built-in method strip of str object at 0x7cd015c096f0>,Success,F9 v1.07B0007.18,Controlled,1 March 2013,15:10
6,CCAFS,Thaicom 6,"3,325 kg",GTO,<built-in method strip of str object at 0x7cd015c09870>,Success,F9 v1.17B10038,No attempt,29 September 2013,16:00
7,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,<built-in method strip of str object at 0x7cd015c099f0>,Success,F9 v1.1,"No attempt
",3 December 2013,22:41
8,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,<built-in method strip of str object at 0x7cd015c09af0>,Success,F9 v1.1,Uncontrolled,6 January 2014,22:06
9,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,<built-in method strip of str object at 0x7cd015c09c30>,Success,F9 v1.1,Failure ,18 April 2014,19:25
10,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,<built-in method strip of str object at 0x7cd015c09db0>,"Success
",F9 v1.1,Controlled,14 July 2014,15:15
11,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,<built-in method strip of str object at 0x7cd015b91760>,"Success
",F9 v1.1,No attempt,5 August 2014,08:00
12,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,<built-in method strip of str object at 0x7cd015bff030>,"Success
",F9 v1.1[,Failure,7 September 2014,05:00
13,Cape Canaveral,DSCOVR,570 kg,HEO,<built-in method strip of str object at 0x7cd015bff230>,"Success
",F9 v1.1[,No attempt,21 September 2014,05:52
14,Cape Canaveral,ABS-3A,"4,159 kg",GTO,<built-in method strip of str object at 0x7cd0174651b0>,Failure,F9 v1.1[,Precluded,10 January 2015,09:47
15,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,<built-in method strip of str object at 0x7cd015bff570>,"Success
",F9 v1.1[,Success,11 February 2015,23:03
16,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,<built-in method strip of str object at 0x7cd015bff530>,"Success
",F9 v1.1[,Failure,2 March 2015,03:50
17,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,<built-in method strip of str object at 0x7cd015b91440>,"Success
",F9 v1.1[,Failure,14 April 2015,20:10
18,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,<built-in method strip of str object at 0x7cd015bff8f0>,Success,F9 v1.1[,Success,27 April 2015,23:03
19,VAFB,Jason-3,553 kg,LEO,<built-in method strip of str object at 0x7cd015c07d70>,"Success
",F9 v1.1[,Success,28 June 2015,14:21
20,Cape Canaveral,SES-9,"5,271 kg",GTO,<built-in method strip of str object at 0x7cd015b91a80>,"Success
",F9 FT[,Success,22 December 2015,01:29
21,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,<built-in method strip of str object at 0x7cd015bffcf0>,"Success
",F9 v1.1[,Failure,17 January 2016,18:42
22,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,<built-in method strip of str object at 0x7cd015bffbb0>,"Success
",F9 FT[,Success,4 March 2016,23:35
23,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,<built-in method strip of str object at 0x7cd015bffe70>,"Success
",F9 FT[,Success,8 April 2016,20:43
24,Cape Canaveral,ABS-2A,"3,600 kg",GTO,<built-in method strip of str object at 0x7cd015b91bc0>,"Success
",F9 FT[,Success,6 May 2016,05:21
25,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,<built-in method strip of str object at 0x7cd015b919e0>,"Success
",F9 FT[,Success,27 May 2016,21:39
26,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,<built-in method strip of str object at 0x7cd0173d1b70>,"Success
",F9 FT[,No attempt,15 June 2016,14:29
27,VAFB,Iridium NEXT,"9,600 kg",Polar,<built-in method strip of str object at 0x7cd0174ea370>,Success,F9 FT[,Success,18 July 2016,04:45
28,KSC,SpaceX CRS-10,"2,490 kg",LEO,<built-in method strip of str object at 0x7cd01745c170>,"Success
",F9 FT[,Success,14 August 2016,05:26
29,KSC,EchoStar 23,"5,600 kg",GTO,<built-in method strip of str object at 0x7cd01744dbf0>,"Success
",F9 FT[,No attempt,14 January 2017,17:54
30,KSC,SES-10,"5,300 kg",GTO,<built-in method strip of str object at 0x7cd0174fb370>,"Success
",F9 FT[,Success,19 February 2017,14:39
31,KSC,NROL-76,C,LEO,<built-in method strip of str object at 0x7cd0174fb0f0>,"Success
",F9 FT[,Success,16 March 2017,06:00
32,KSC,Inmarsat-5 F4,"6,070 kg",GTO,<built-in method strip of str object at 0x7cd0173cb630>,"Success
",F9 FT♺[,Success,30 March 2017,22:27
33,KSC,SpaceX CRS-11,"2,708 kg",LEO,<built-in method strip of str object at 0x7cd015be1440>,"Success
",F9 FT[,No attempt,1 May 2017,11:15
34,KSC,BulgariaSat-1,"3,669 kg",GTO,<built-in method strip of str object at 0x7cd017441ef0>,"Success
",F9 FT[,Success,15 May 2017,23:21
35,VAFB,Iridium NEXT,"9,600 kg",LEO,<built-in method strip of str object at 0x7cd015bf0430>,"Success
",F9 FT[,Success,3 June 2017,21:07
36,KSC,Intelsat 35e,"6,761 kg",GTO,<built-in method strip of str object at 0x7cd015bf05b0>,"Success
",F9 FTB1029.2195,Success,23 June 2017,19:10
37,KSC,SpaceX CRS-12,"3,310 kg",LEO,<built-in method strip of str object at 0x7cd015bf0570>,"Success
",F9 FT[,Success,25 June 2017,20:25
38,VAFB,Formosat-5,475 kg,SSO,<built-in method strip of str object at 0x7cd01744ff80>,"Success
",F9 FT[,Success,5 July 2017,23:38
39,KSC,Boeing X-37B,"4,990 kg",LEO,<built-in method strip of str object at 0x7cd01744fcb0>,"Success
",F9 B4[,Success,14 August 2017,16:31
40,VAFB,Iridium NEXT,"9,600 kg",Polar,<built-in method strip of str object at 0x7cd015bf0ab0>,"Success
",F9 FT[,Success,24 August 2017,18:51
41,KSC,SES-11,"5,200 kg",GTO,<built-in method strip of str object at 0x7cd015bf0bf0>,Success,F9 B4[,Controlled,7 September 2017,14:00
42,KSC,Koreasat 5A,"3,500 kg",GTO,<built-in method strip of str object at 0x7cd01744f120>,Success,F9 B4[,Success,9 October 2017,12:37
43,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,<built-in method strip of str object at 0x7cd01744fbc0>,Success,F9 FTB1031.2220,Controlled,11 October 2017,22:53:00
44,VAFB,Iridium NEXT,"9,600 kg",Polar,<built-in method strip of str object at 0x7cd015bf0f70>,Success,F9 B4[,No attempt,30 October 2017,19:34
45,CCAFS,Zuma,C,LEO,<built-in method strip of str object at 0x7cd01744f580>,Success,F9 FTB1035.2227,No attempt,15 December 2017,15:36
46,CCAFS,GovSat-1,"4,230 kg",GTO,<built-in method strip of str object at 0x7cd01744f620>,Success,F9 FTB1036.2227,No attempt,23 December 2017,01:27
47,VAFB,Paz,"2,150 kg",SSO,<built-in method strip of str object at 0x7cd01744f760>,Success,F9 B4[,No attempt,8 January 2018,01:00
48,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,<built-in method strip of str object at 0x7cd015be64f0>,Success,F9 FTB1032.2245,Success,31 January 2018,21:25
49,VAFB,Iridium NEXT,"9,600 kg",Polar,<built-in method strip of str object at 0x7cd015be6670>,Success,F9 FTB1038.2268,Success,22 February 2018,14:17
50,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,<built-in method strip of str object at 0x7cd01744fb20>,Success,F9 B4[,No attempt,6 March 2018,05:33
51,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,<built-in method strip of str object at 0x7cd01785fc10>,Success,F9 B4B1041.2268,No attempt,30 March 2018,14:14
52,KSC,Bangabandhu-1,"3,600 kg",GTO,<built-in method strip of str object at 0x7cd015be6a30>,Success,F9 B4B1039.2292,No attempt,2 April 2018,20:30
53,VAFB,Iridium NEXT,"6,460 kg",Polar,<built-in method strip of str object at 0x7cd015be6bb0>,Success,F9 B4[,Success,18 April 2018,22:51
54,CCAFS,SES-12,"5,384 kg",GTO,<built-in method strip of str object at 0x7cd015be6d30>,Success,F9 B5311B1046.1268,Success,11 May 2018,20:14
55,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,<built-in method strip of str object at 0x7cd0175fe8a0>,Success,F9 B4B1043.2322,Success,22 May 2018,19:47
56,CCAFS,Telstar 19V,"7,075 kg",GTO,<built-in method strip of str object at 0x7cd0175fe940>,Success,F9 B4B1040.2268,Success,4 June 2018,04:45
57,VAFB,Iridium NEXT,"9,600 kg",Polar,<built-in method strip of str object at 0x7cd015be6ef0>,Success,F9 B4B1045.2336,Success,29 June 2018,09:42
58,CCAFS,Merah Putih,"5,800 kg",GTO,<built-in method strip of str object at 0x7cd015bdf2b0>,Success,F9 B5,Success,22 July 2018,05:50
59,CCAFS,Telstar 18V,"7,060 kg",GTO,<built-in method strip of str object at 0x7cd015bdf270>,Success,F9 B5349B1048[,Success,25 July 2018,11:39
60,VAFB,SAOCOM 1A,"3,000 kg",SSO,<built-in method strip of str object at 0x7cd0175fe260>,"Success
",F9 B5B1046.2354,Failure,7 August 2018,05:18
61,KSC,Es'hail 2,"5,300 kg",GTO,<built-in method strip of str object at 0x7cd015bdf670>,Success,F9 B5[,No attempt,10 September 2018,04:45
62,VAFB,SSO-A,"~4,000 kg",SSO,<built-in method strip of str object at 0x7cd015bdf7b0>,"Success
",F9 B5B1048.2364,Success,8 October 2018,02:22
63,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,<built-in method strip of str object at 0x7cd0175fe580>,"Success
",F9 B5B1047.2268,Success,15 November 2018,20:46
64,CCAFS,GPS III,"4,400 kg",MEO,<built-in method strip of str object at 0x7cd01739c510>,"Success
",F9 B5B1046.3268,Success,3 December 2018,18:34:05
65,VAFB,Iridium NEXT,"9,600 kg",Polar,<built-in method strip of str object at 0x7cd015bdfb70>,"Success
",F9 B5[,Success,5 December 2018,18:16
66,CCAFS,Nusantara Satu,"4,850 kg",GTO,<built-in method strip of str object at 0x7cd015bdfd30>,"Success
",F9 B5[,Success,23 December 2018,13:51
67,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,<built-in method strip of str object at 0x7cd015bdfeb0>,"Success
",F9 B5B1049.2397,Success,11 January 2019,15:31
68,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,<built-in method strip of str object at 0x7cd0175f90d0>,"Success
",F9 B5B1048.3399,Success,22 February 2019,01:45
69,CCAFS,Starlink,"13,620 kg",LEO,<built-in method strip of str object at 0x7cd015bf21b0>,"Success
",F9 B5[]413,No attempt,2 March 2019,07:49
70,VAFB,RADARSAT Constellation,"4,200 kg",SSO,<built-in method strip of str object at 0x7cd015bf2330>,"Success
",F9 B5[,Success,4 May 2019,06:48
71,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,<built-in method strip of str object at 0x7cd015bf2130>,"Success
",F9 B5B1049.3434,Success,24 May 2019,02:30
72,CCAFS,AMOS-17,"6,500 kg",GTO,<built-in method strip of str object at 0x7cd015bf25b0>,"Success
",F9 B5B1051.2420,Success,12 June 2019,14:17
73,CCAFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd0175f9760>,"Success
",F9 B5B1056.2465,Success,25 July 2019,22:01
74,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,<built-in method strip of str object at 0x7cd015bf2870>,"Success
",F9 B5B1047.3472,"No attempt
",6 August 2019,23:23
75,CCAFS,JCSat-18,"6,956 kg",GTO,<built-in method strip of str object at 0x7cd0175f99e0>,"Success
",F9 B5,Success,11 November 2019,14:56
76,CCAFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015bf2af0>,"Success
",F9 B5[,Failure,5 December 2019,17:29
77,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,<built-in method strip of str object at 0x7cd015bf2c30>,"Success
",F9 B5B1056.3482,Success,17 December 2019,00:10
78,CCAFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015bf2df0>,"Success
",F9 B5,Failure,7 January 2020,02:19:21
79,CCAFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015bf2f70>,"Success
",F9 B5,Success,19 January 2020,15:30
80,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,<built-in method strip of str object at 0x7cd015be8130>,"Success
",F9 B5,Success,29 January 2020,14:07
81,KSC,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015be82b0>,"Success
",F9 B5,Success,17 February 2020,15:05
82,KSC,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015be8430>,"Success
",F9 B5,Success,7 March 2020,04:50
83,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,<built-in method strip of str object at 0x7cd0175f9260>,"Success
",F9 B5,Success,18 March 2020,12:16
84,CCAFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd0175f96c0>,"Success
",F9 B5,Success,22 April 2020,19:30
85,CCAFS,Starlink,"15,410 kg",LEO,<built-in method strip of str object at 0x7cd0175f98a0>,"Success
",F9 B5[,Success,30 May 2020,19:22
86,CCAFS,GPS III,"4,311 kg",MEO,<built-in method strip of str object at 0x7cd0173c14b0>,"Success
",F9 B5,Success,4 June 2020,01:25
87,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,<built-in method strip of str object at 0x7cd0174e95d0>,"Success
",F9 B5,Success,13 June 2020,09:21
88,KSC,Starlink,"14,932 kg",LEO,<built-in method strip of str object at 0x7cd0174e9620>,"Success
",F9 B5,Success,30 June 2020,20:10:46
89,CCAFS,Starlink,"~15,440 kg",LEO,<built-in method strip of str object at 0x7cd015be8c70>,"Success
",F9 B5B1058.2544,Success,20 July 2020,21:30
90,CCAFS,SAOCOM 1B,"3,130 kg",SSO,<built-in method strip of str object at 0x7cd015be8df0>,"Success
",F9 B5,Success,7 August 2020,05:12
91,KSC,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015be8f70>,"Success
",F9 B5B1049.6544,Success,18 August 2020,14:31
92,KSC,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015bde130>,"Success
",F9 B5,Success,30 August 2020,23:18
93,KSC,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015bde2b0>,"Success
",F9 B5B1060.2563,Success,3 September 2020,12:46:14
94,CCAFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd0174e98f0>,"Success
",F9 B5B1058.3565,Success,6 October 2020,11:29:34
95,CCAFS,GPS III,"4,311 kg",MEO,<built-in method strip of str object at 0x7cd0174e99e0>,"Success
",F9 B5B1051.6568,Success,18 October 2020,12:25:57
96,KSC,Crew-1,"~12,500 kg",LEO,<built-in method strip of str object at 0x7cd015bde4f0>,"Success
",F9 B5,Success,24 October 2020,15:31:34
97,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,<built-in method strip of str object at 0x7cd015bde570>,"Success
",F9 B5,Success,5 November 2020,23:24:23
98,CCAFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015bde6b0>,"Success
",F9 B5[,Success,16 November 2020,00:27
99,KSC,SpaceX CRS-21,"2,972 kg",LEO,<built-in method strip of str object at 0x7cd015bde8b0>,"Success
",F9 B5,Success,21 November 2020,17:17:08
100,CCSFS,SXM-7,"7,000 kg",GTO,<built-in method strip of str object at 0x7cd01739c690>,"Success
",F9 B5 ♺[,Success,25 November 2020,02:13
101,KSC,NROL-108,C,LEO,<built-in method strip of str object at 0x7cd015bdeb70>,"Success
",F9 B5 ♺[,Success,6 December 2020,16:17:08
102,CCSFS,Türksat 5A,"3,500 kg",GTO,<built-in method strip of str object at 0x7cd015bdecf0>,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
103,KSC,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015bdea30>,"Success
",F9 B5 ♺,Failure,19 December 2020,14:00:00
104,CCSFS,Transporter-1,"~5,000 kg",SSO,<built-in method strip of str object at 0x7cd015bdedf0>,"Success
",F9 B5,Success,8 January 2021,02:15
105,CCSFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015bdeef0>,"Success
",F9 B5B1051.8609,Success,20 January 2021,13:02
106,CCSFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015c0d070>,"Success
",F9 B5B1058.5613,Success,24 January 2021,15:00
107,KSC,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015c0d1b0>,"Success
",F9 B5 ♺[,Success,4 February 2021,06:19
108,CCSFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015c0d4b0>,"Success
",F9 B5 ♺,Success,16 February 2021,03:59:37
109,KSC,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015c0d5f0>,"Success
",F9 B5 ♺[,Success,4 March 2021,08:24
110,CCSFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd0174e93f0>,"Success
",F9 B5 ♺[,Success,11 March 2021,08:13:29
111,CCSFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015c0d8b0>,"Success
",F9 B5 ♺,Success,14 March 2021,10:01
112,KSC,Crew-2,"~13,000 kg",LEO,<built-in method strip of str object at 0x7cd015c0da30>,"Success
",F9 B5B1060.6643,Success,24 March 2021,08:28
113,CCSFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015c0d770>,"Success
",F9 B5 ♺,Success,7 April 2021,16:34
114,KSC,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd0174e9120>,"Success
",F9 B5B1061.2647,Success,23 April 2021,9:49
115,CCSFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015c0de30>,"Success
",F9 B5B1060.7652,Success,29 April 2021,03:44
116,KSC,Starlink,"~14,000 kg",LEO,<built-in method strip of str object at 0x7cd015c0dfb0>,"Success
",F9 B5B1049.9655,Success,4 May 2021,19:01
117,CCSFS,Starlink,"15,600 kg",LEO,<built-in method strip of str object at 0x7cd015bee170>,,F9 B5B1051.10657,,9 May 2021,06:42
118,KSC,SpaceX CRS-22,"3,328 kg",LEO,,,F9 B5B1058.8660,,15 May 2021,22:56
119,CCSFS,SXM-8,"7,000 kg",GTO,,,F9 B5B1063.2665,,26 May 2021,18:59
120,,,,,,,F9 B5B1067.1668,,3 June 2021,17:29
121,,,,,,,F9 B5,,6 June 2021,04:26
